,0
0,"[2019, 11, 13, [[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['made to order piedmont pasta bar', 'sloppy joe', 'breaded chicken tenders']]]"
1,"[2019, 11, 13, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['orange chicken']]]"
2,"[2019, 11, 13, [[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['popcorn shrimp']]]"
3,"[2019, 11, 13, [[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['hamburgers', ""meat lover's pizza""]]]"
4,"[2019, 11, 14, [[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['made to order piedmont pasta bar', 'crispy pepperoni pizza']]]"
5,"[2019, 11, 14, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], []]]"
6,"[2019, 11, 14, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], []]]"
7,"[2019, 11, 14, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], []]]"
8,"[2019, 11, 15, [[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], ['hamburger', 'made to order piedmont pasta bar', 'crispy meat lovers pizza']]]"
9,"[2019, 11, 15, [None, 'The dining court appears to be closed.']]"
10,"[2019, 11, 15, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], []]]"
11,"[2019, 11, 15, [[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['hamburgers']]]"
12,"[2019, 11, 16, [[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], ['made to order piedmont pasta bar', 'fraldinha beef']]]"
13,"[2019, 11, 16, [None, 'The dining court appears to be closed.']]"
14,"[2019, 11, 16, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], []]]"
15,"[2019, 11, 16, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['mini corn dogs']]]"
16,"[2019, 11, 17, [None, 'The dining court appears to be closed.']]"
17,"[2019, 11, 17, [None, 'The dining court appears to be closed.']]"
18,"[2019, 11, 17, [None, 'The dining court appears to be closed.']]"
19,"[2019, 11, 17, [None, 'The dining court appears to be closed.']]"
20,"[2019, 11, 18, [[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], ['made to order venetian pasta bar', 'crispy jalapeno popper pizza']]]"
21,"[2019, 11, 18, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], []]]"
22,"[2019, 11, 18, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], ['hamburger']]]"
23,"[2019, 11, 18, [[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ['hamburgers']]]"
